date,ghi_forecast,dni_forecast,cloud_cover_forecast,ambient_temperature_forecast,power_actual,power_actual_scaled
2021-01-01 09:00:00,,,,,0.738,0.032568402471315094
2021-01-01 10:00:00,,,,,4.806,0.2120917917034422
2021-01-01 11:00:00,,,,,8.55,0.3773168578993822
2021-01-01 12:00:00,,,,,10.098,0.4456310679611651
2021-01-01 13:00:00,,,,,10.188,0.44960282436010596
2021-01-01 14:00:00,,,,,0.216,0.009532215357458075
2021-01-01 15:00:00,,,,,0.18,0.00794351279788173
2021-01-01 16:00:00,,,,,1.494,0.06593115622241835
2021-01-01 17:00:00,,,,,0.396,0.017475728155339806
2021-01-02 11:00:00,253.9,207.7,92.7,11.6,5.184,0.22877316857899382
2021-01-02 13:00:00,337.9,310.4,85.3,11.2,2.268,0.10008826125330979
2021-01-02 14:00:00,283.9,217.0,92.7,11.1,6.444,0.28437775816416594
2021-01-02 15:00:00,223.7,197.5,76.6,10.9,9.612,0.4241835834068844
2021-01-02 16:00:00,151.6,163.4,74.6,10.6,2.466,0.10882612533097971
2021-01-03 10:00:00,183.3,264.0,86.7,7.8,0.612,0.02700794351279788
2021-01-03 11:00:00,293.8,368.3,83.3,9.2,2.862,0.1263018534863195
2021-01-03 12:00:00,336.1,317.2,92.6,9.9,3.402,0.1501323918799647
2021-01-03 13:00:00,284.5,136.2,98.0,10.0,1.278,0.056398940864960286
2021-01-03 14:00:00,231.1,90.5,97.1,9.9,3.906,0.17237422771403355
2021-01-03 15:00:00,236.4,168.2,94.9,9.9,0.828,0.036540158870255954
2021-01-03 16:00:00,143.2,99.6,82.7,9.7,0.306,0.01350397175639894
2021-01-04 09:00:00,65.0,87.8,48.1,6.2,0.702,0.030979699911738743
2021-01-04 10:00:00,198.0,304.0,34.0,7.9,1.08,0.04766107678729038
2021-01-04 11:00:00,328.4,519.2,39.4,9.2,8.316,0.36699029126213595
2021-01-04 12:00:00,412.7,615.2,17.2,10.3,6.156,0.27166813768755516
2021-01-04 13:00:00,439.8,637.6,13.5,11.0,4.68,0.20653133274492497
2021-01-04 14:00:00,406.7,598.8,25.2,11.2,4.05,0.1787290379523389
2021-01-04 15:00:00,295.5,397.0,26.5,10.9,4.806,0.2120917917034422
2021-01-04 16:00:00,190.7,317.3,12.6,10.5,4.464,0.19699911738746692
2021-01-05 11:00:00,175.3,78.8,60.2,9.3,3.744,0.16522506619594
2021-01-05 12:00:00,316.3,256.5,65.6,10.3,1.188,0.05242718446601941
2021-01-05 13:00:00,311.5,219.4,71.1,10.6,0.162,0.007149161518093557
2021-01-05 14:00:00,314.3,260.0,64.3,11.1,5.616,0.24783759929390994
2021-01-05 15:00:00,259.3,224.9,75.8,10.8,4.734,0.20891438658428949
2021-01-05 16:00:00,130.2,83.1,62.5,10.1,3.312,0.14616063548102382
2021-01-06 12:00:00,226.4,52.5,92.2,8.4,0.252,0.011120917917034422
2021-01-06 13:00:00,254.0,77.5,91.4,9.1,1.494,0.06593115622241835
2021-01-06 14:00:00,217.8,48.4,89.1,9.6,0.684,0.030185348631950576
2021-01-07 14:00:00,67.1,1.7,99.1,9.2,0.126,0.005560458958517211
2021-01-08 12:00:00,123.3,4.9,95.2,10.2,1.404,0.061959399823477486
2021-01-08 13:00:00,147.4,11.6,92.5,10.5,3.24,0.14298323036187116
2021-01-08 14:00:00,140.0,14.8,92.0,10.7,3.33,0.146954986760812
2021-01-08 15:00:00,129.6,12.0,91.7,10.9,3.042,0.13424536628420122
2021-01-09 11:00:00,152.5,34.9,72.6,13.6,2.754,0.12153574580759047
2021-01-09 12:00:00,294.3,183.6,55.7,14.6,8.298,0.36619593998234773
2021-01-09 13:00:00,366.6,348.7,41.9,15.1,8.568,0.37811120917917035
2021-01-09 14:00:00,374.1,430.8,46.1,15.5,7.182,0.31694616063548103
2021-01-09 15:00:00,317.9,424.9,37.9,15.5,6.48,0.2859664607237423
2021-01-09 16:00:00,213.2,349.4,34.6,15.2,2.592,0.11438658428949691
2021-01-10 09:00:00,18.5,1.9,87.0,11.5,0.18,0.00794351279788173
2021-01-10 10:00:00,68.2,7.8,85.7,12.1,2.232,0.09849955869373346
2021-01-10 11:00:00,115.5,21.6,82.4,12.7,6.948,0.3066195939982348
2021-01-10 12:00:00,192.9,107.8,83.4,13.2,1.98,0.08737864077669903
2021-01-10 13:00:00,194.2,139.0,76.5,13.3,1.782,0.07864077669902912
2021-01-10 14:00:00,219.0,149.0,70.7,13.3,4.572,0.20176522506619593
2021-01-10 15:00:00,184.8,129.9,63.2,13.2,6.786,0.2994704324801412
2021-01-10 16:00:00,132.8,117.1,30.4,12.9,2.466,0.10882612533097971
2021-01-10 17:00:00,54.5,70.8,43.8,12.2,0.468,0.0206531332744925
2021-01-11 09:00:00,44.7,21.7,75.3,9.0,0.972,0.04289496910856134
2021-01-11 10:00:00,158.4,136.0,69.7,10.0,1.836,0.08102383053839365
2021-01-11 11:00:00,230.8,135.1,76.6,10.9,6.48,0.2859664607237423
2021-01-11 12:00:00,318.8,251.6,81.7,11.3,5.418,0.2390997352162401
2021-01-11 13:00:00,308.3,183.3,81.6,11.5,0.684,0.030185348631950576
2021-01-11 14:00:00,272.0,135.4,92.8,11.6,8.604,0.3796999117387467
2021-01-11 15:00:00,161.3,56.8,84.6,11.2,7.182,0.31694616063548103
2021-01-11 16:00:00,121.4,53.3,79.1,11.0,2.754,0.12153574580759047
